Date,SHY,IEF,TLT
2018-01-17,69.33573150634766,85.1507568359375,97.8565673828125
2018-01-18,69.31916809082031,84.88158416748047,96.94754791259766
2018-01-19,69.34402465820312,84.66133117675781,96.43815612792969
2018-01-22,69.31087493896484,84.62873840332031,96.53218841552734
2018-01-23,69.35231018066406,84.8734359741211,96.94754791259766
2018-01-24,69.33573150634766,84.71028137207031,96.4224624633789
2018-01-25,69.31916809082031,84.89788055419922,97.21400451660156
2018-01-26,69.27775573730469,84.6450424194336,96.85350036621094
2018-01-29,69.25286865234375,84.43293762207031,96.17953491210938
2018-01-30,69.26117706298828,84.23715209960938,95.61530303955078
2018-01-31,69.26117706298828,84.26166534423828,96.17953491210938
2018-02-01,69.23297882080078,83.82698059082031,94.78562927246094
2018-02-02,69.24127197265625,83.51651000976562,93.90609741210938
2018-02-05,69.36565399169922,84.20281982421875,94.79352569580078
2018-02-06,69.31591033935547,83.83514404296875,94.20452117919922
2018-02-07,69.26612854003906,83.59003448486328,93.30925750732422
2018-02-08,69.2744369506836,83.66361236572266,93.20718383789062
2018-02-09,69.33248901367188,83.51651000976562,92.6181869506836
2018-02-12,69.29930877685547,83.4920425415039,93.02657318115234
2018-02-13,69.29930877685547,83.630859375,93.44277954101562
2018-02-14,69.19981384277344,83.12433624267578,92.40617370605469
2018-02-15,69.17489624023438,83.14883422851562,92.72030639648438
2018-02-16,69.19152069091797,83.34496307373047,93.22284698486328
2018-02-20,69.18321990966797,83.25508117675781,92.81454467773438
2018-02-21,69.19152069091797,83.0099868774414,91.67582702636719
2018-02-22,69.19981384277344,83.12433624267578,91.95069885253906
2018-02-23,69.2164077758789,83.44300079345703,92.7674331665039
2018-02-26,69.22469329833984,83.54106140136719,92.79879760742188
2018-02-27,69.17489624023438,83.2795639038086,92.66533660888672
2018-02-28,69.19152069091797,83.47566223144531,93.25428771972656
2018-03-01,69.28782653808594,83.83489990234375,93.89087677001953
2018-03-02,69.25459289550781,83.5239486694336,93.1275634765625
